relative_path,parameter_image,usage_image,decision,action,notes
commands/os/decompressfilecommand.mdx,decompressfilecommand-03.png,decompressfilecommand-04.png,reversed,swapped,参数区改用空白默认态04；示例区改用已填写态03
commands/ai/recognizetablecommand.mdx,recognizetablecommand-01.png,recognizetablecommand-05.png,reversed,swapped,参数区改用空白默认态05；示例区改用已填写本地路径的01
commands/data-processing/setvariablecommand.mdx,setvariablecommand-02.png,setvariablecommand-07.png,misplaced,relocated,空白的修改变量面板07移至参数区；序号加一示例02移至使用示例
commands/ai/makeasummarycommand.mdx,makeasummarycommand-01.png,makeasummarycommand-02.png,reversed,swapped,参数区改用空白文本框02；示例区改用已填写长文本的01
commands/ai/extractentitycommand.mdx,extractentitycommand-01.png,extractentitycommand-02.png,reversed,swapped,参数区改用空白文本框02；示例区改用已填写实体文本的01
commands/excel/setexcelcellsizecommand.mdx,setexcelcellsizecommand-01.png,setexcelcellsizecommand-03.png,valid,none,参数图为默认自适应；示例图填写行号高度
commands/feishu/getlarkbitablefieldcommand.mdx,getlarkbitablefieldcommand-01.png,getlarkbitablefieldcommand-04.png,valid,none,参数图展示名称定位默认态；示例图展示ID定位及具体ID
commands/excel/getexcelsheetnamecommand.mdx,getexcelsheetnamecommand-01.png,getexcelsheetnamecommand-04.png,valid,none,两图均为合法默认配置且所在模块正确
commands/os/getfilescommand.mdx,getfilescommand-01.png,getfilescommand-03.png,valid,none,参数图路径为空；示例图填写路径并启用排序
commands/excel/addimagetoexcelcommand.mdx,addimagetoexcelcommand-04.png,addimagetoexcelcommand-03.png,valid,none,参数图为高级页签；示例图为常规页签具体配置
commands/data-processing/splittextcommand.mdx,splittextcommand-01.png,splittextcommand-03.png,valid,none,参数图为空白默认态；示例图填写日期和分隔符
commands/mouse-keyboard/keyboardinputcommand.mdx,keyboardinputcommand-01.png,keyboardinputcommand-02.png,valid,none,参数图输入内容为空；示例图填写组合按键
commands/data-processing/getsubtextcommand.mdx,getsubtextcommand-01.png,getsubtextcommand-03.png,valid,none,参数图为默认截取方式；示例图填写变量和长度
commands/ai/recognizeinvoicecommand.mdx,recognizeinvoicecommand-02.png,recognizeinvoicecommand-04.png,valid,none,参数图为高级页签；示例图为常规页签具体文件
commands/database/connecttodatabasecommand.mdx,connecttodatabasecommand-01.png,connecttodatabasecommand-04.png,wrong-tab,removed,常规参数图01与填写态示例04位置正确；高级区错误引用了仍选中常规页签的02，因无高级参数已移除
commands/bazhuayu/gettaskdataoffsetcommand.mdx,gettaskdataoffsetcommand-01.png,gettaskdataoffsetcommand-03.png,misplaced,relocated,空白的当前索引位置面板03移至参数区；后续获取数据配置01保留在使用示例
commands/bazhuayu/gettaskdatacommand.mdx,gettaskdatacommand-02.png,gettaskdatacommand-04.png,reversed,swapped,空白面板04移至参数区；填写任务ID和数据范围的02移至使用示例
commands/data-processing/jointextcommand.mdx,jointextcommand-01.png,jointextcommand-03.png,misplaced,relocated,空白的列表转文本面板03移至参数区；输入文件与填写态图片保留在使用示例
commands/others/showmessagetipscommand.mdx,showmessagetipscommand-05.png,showmessagetipscommand-03.png,reversed,swapped,常规区改用选中常规页签的05；高级区改用选中高级页签的03
commands/ai/recognizegeneraltextcommand.mdx,recognizegeneraltextcommand-05.png,recognizegeneraltextcommand-02.png,reversed,swapped,参数区改用填写较少的默认态05；使用示例改用填写了本地图像路径的02
commands/email/sendemailcommand.mdx,sendemailcommand-01.png,sendemailcommand-09.png,uncropped-and-mixed,restructured,常规参数图保留空白态01；高级参数图新增13；主示例归位03/05/08/09；灰色遮罩图07深裁为10；整屏效果图04拆分为日志11和结果12
