command_title,relative_path,status,parameter_images,usage_images,effect_images
情感倾向分析,commands/ai/getemotionaltendencycommand.mdx,semantic_reclassified,getemotionaltendencycommand-01.png,getemotionaltendencycommand-03.png;getemotionaltendencycommand-02.png,
AI文本生成,commands/ai/interactivechatcommand.mdx,normalized,interactivechatcommand-02.png,interactivechatcommand-04.png;interactivechatcommand-03.png;interactivechatcommand-07.png;interactivechatcommand-05.png;interactivechatcommand-08.png,interactivechatcommand-01.png;interactivechatcommand-06.png;interactivechatcommand-09.png
解析非结构化数据,commands/ai/parsingunstructureddatacommand.mdx,normalized,parsingunstructureddatacommand-02.png,parsingunstructureddatacommand-04.png;parsingunstructureddatacommand-01.png,parsingunstructureddatacommand-03.png;parsingunstructureddatacommand-05.png
验证码识别,commands/ai/recognizecaptchabyprovidercommand.mdx,semantic_reclassified,recognizecaptchabyprovidercommand-01.png;recognizecaptchabyprovidercommand-02.png;recognizecaptchabyprovidercommand-03.png;recognizecaptchabyprovidercommand-04.png;recognizecaptchabyprovidercommand-05.png;recognizecaptchabyprovidercommand-06.png;recognizecaptchabyprovidercommand-07.png;recognizecaptchabyprovidercommand-08.png;recognizecaptchabyprovidercommand-09.png,recognizecaptchabyprovidercommand-13.png;recognizecaptchabyprovidercommand-10.png,recognizecaptchabyprovidercommand-11.png;recognizecaptchabyprovidercommand-12.png;recognizecaptchabyprovidercommand-14.png
卡证识别,commands/ai/recognizecardcommand.mdx,normalized,recognizecardcommand-01.png,recognizecardcommand-02.png;recognizecardcommand-04.png,recognizecardcommand-03.png;recognizecardcommand-05.png
字符验证码,commands/ai/recognizecharactercommand.mdx,normalized,recognizecharactercommand-02.png,recognizecharactercommand-01.png;recognizecharactercommand-04.png,recognizecharactercommand-03.png;recognizecharactercommand-05.png
通用文字识别,commands/ai/recognizegeneraltextcommand.mdx,normalized,recognizegeneraltextcommand-02.png;recognizegeneraltextcommand-06.png,recognizegeneraltextcommand-03.png;recognizegeneraltextcommand-05.png,recognizegeneraltextcommand-01.png;recognizegeneraltextcommand-04.png
票据识别,commands/ai/recognizeinvoicecommand.mdx,normalized,recognizeinvoicecommand-01.png;recognizeinvoicecommand-02.png,recognizeinvoicecommand-03.png;recognizeinvoicecommand-04.png;recognizeinvoicecommand-05.png,recognizeinvoicecommand-06.png
reCAPTCHA V2验证码,commands/ai/recognizerecaptchav2command.mdx,normalized,recognizerecaptchav2command-01.png,recognizerecaptchav2command-04.png;recognizerecaptchav2command-05.png;recognizerecaptchav2command-03.png,recognizerecaptchav2command-02.png;recognizerecaptchav2command-06.png
图片旋转验证码,commands/ai/recognizerotationcommand.mdx,normalized,recognizerotationcommand-10.png,recognizerotationcommand-06.png;recognizerotationcommand-05.png;recognizerotationcommand-04.png;recognizerotationcommand-08.png,recognizerotationcommand-01.png;recognizerotationcommand-02.png;recognizerotationcommand-03.png;recognizerotationcommand-07.png;recognizerotationcommand-09.png
滑动条验证码,commands/ai/recognizeslidercommand.mdx,normalized,recognizeslidercommand-01.png,recognizeslidercommand-04.png,recognizeslidercommand-02.png;recognizeslidercommand-03.png;recognizeslidercommand-05.png;recognizeslidercommand-06.png
滑动拼图验证码,commands/ai/recognizesliderpuzzlecommand.mdx,normalized,recognizesliderpuzzlecommand-02.png;recognizesliderpuzzlecommand-07.png,recognizesliderpuzzlecommand-05.png,recognizesliderpuzzlecommand-01.png;recognizesliderpuzzlecommand-03.png;recognizesliderpuzzlecommand-04.png;recognizesliderpuzzlecommand-08.png;recognizesliderpuzzlecommand-06.png
表格识别,commands/ai/recognizetablecommand.mdx,normalized,recognizetablecommand-01.png;recognizetablecommand-06.png,recognizetablecommand-03.png;recognizetablecommand-05.png,recognizetablecommand-02.png;recognizetablecommand-04.png
描绘轨迹验证码,commands/ai/recognizetrajectorycommand.mdx,normalized,recognizetrajectorycommand-03.png,recognizetrajectorycommand-04.png;recognizetrajectorycommand-02.png,recognizetrajectorycommand-01.png
文本翻译,commands/ai/translatecommand.mdx,normalized,translatecommand-02.png,translatecommand-04.png;translatecommand-01.png,translatecommand-03.png
八爪鱼账号授权,commands/bazhuayu/getaccesstokencommand.mdx,normalized,getaccesstokencommand-03.png,getaccesstokencommand-01.png,getaccesstokencommand-02.png
获取采集任务数据,commands/bazhuayu/gettaskdatacommand.mdx,normalized,gettaskdatacommand-02.png,gettaskdatacommand-04.png;gettaskdatacommand-03.png,gettaskdatacommand-01.png
获取采集数据总量,commands/bazhuayu/gettaskdatacountcommand.mdx,normalized,gettaskdatacountcommand-03.png,gettaskdatacountcommand-01.png,gettaskdatacountcommand-02.png
获取当前数据索引位置,commands/bazhuayu/gettaskdataoffsetcommand.mdx,semantic_reclassified,gettaskdataoffsetcommand-01.png,gettaskdataoffsetcommand-03.png;gettaskdataoffsetcommand-02.png,gettaskdataoffsetcommand-04.png
启动采集任务,commands/bazhuayu/starttaskcommand.mdx,normalized,starttaskcommand-04.png,starttaskcommand-03.png,starttaskcommand-01.png;starttaskcommand-02.png
停止采集任务,commands/bazhuayu/stoptaskcommand.mdx,normalized,stoptaskcommand-03.png,stoptaskcommand-02.png,stoptaskcommand-01.png;stoptaskcommand-04.png
修改采集任务步骤配置,commands/bazhuayu/updateactionpropertiescommand.mdx,semantic_reclassified,updateactionpropertiescommand-01.png,updateactionpropertiescommand-05.png;updateactionpropertiescommand-02.png,updateactionpropertiescommand-03.png;updateactionpropertiescommand-04.png
添加前后缀,commands/data-processing/appendprefixorsuffixcommand.mdx,normalized,appendprefixorsuffixcommand-03.png,appendprefixorsuffixcommand-02.png,appendprefixorsuffixcommand-01.png
清空列表,commands/data-processing/clearlistcommand.mdx,normalized,clearlistcommand-02.png,clearlistcommand-03.png,clearlistcommand-01.png;clearlistcommand-04.png;clearlistcommand-05.png
时间文本格式转换,commands/data-processing/convertdatetimetextcommand.mdx,semantic_reclassified,convertdatetimetextcommand-01.png,convertdatetimetextcommand-03.png;convertdatetimetextcommand-02.png,convertdatetimetextcommand-04.png
新建列表,commands/data-processing/createlistcommand.mdx,normalized,createlistcommand-04.png,createlistcommand-01.png,createlistcommand-02.png;createlistcommand-03.png
日期时间转换为时间戳,commands/data-processing/datetimeconverttotimestampcommand.mdx,normalized,datetimeconverttotimestampcommand-02.png,datetimeconverttotimestampcommand-01.png,datetimeconverttotimestampcommand-03.png
列表去重,commands/data-processing/distinctlistcommand.mdx,normalized,distinctlistcommand-01.png,distinctlistcommand-02.png;distinctlistcommand-04.png,distinctlistcommand-03.png;distinctlistcommand-05.png
获取字典所有键名,commands/data-processing/getdictionarykeyscommand.mdx,normalized,getdictionarykeyscommand-02.png,getdictionarykeyscommand-03.png,getdictionarykeyscommand-01.png;getdictionarykeyscommand-04.png
获取字典所有键值,commands/data-processing/getdictionaryvaluescommand.mdx,normalized,getdictionaryvaluescommand-02.png,getdictionaryvaluescommand-03.png,getdictionaryvaluescommand-01.png;getdictionaryvaluescommand-04.png
截取文本,commands/data-processing/getsubtextcommand.mdx,semantic_reclassified,getsubtextcommand-01.png,getsubtextcommand-03.png;getsubtextcommand-02.png,getsubtextcommand-04.png
插入数据到列表,commands/data-processing/insertitemtolistcommand.mdx,semantic_reclassified,insertitemtolistcommand-01.png,insertitemtolistcommand-03.png;insertitemtolistcommand-02.png,insertitemtolistcommand-04.png
获取列表交集,commands/data-processing/intersectlistcommand.mdx,normalized,intersectlistcommand-05.png,intersectlistcommand-01.png,intersectlistcommand-02.png;intersectlistcommand-03.png;intersectlistcommand-04.png
Json相关指令和解析方法,commands/data-processing/jEc4Yc.mdx,semantic_reclassified,,jEc4Yc-03.png;jEc4Yc-01.png;jEc4Yc-02.png;jEc4Yc-04.png,jEc4Yc-05.png;jEc4Yc-06.png;jEc4Yc-07.png;jEc4Yc-08.png
列表转文本,commands/data-processing/jointextcommand.mdx,semantic_reclassified,jointextcommand-01.png,jointextcommand-03.png;jointextcommand-04.png;jointextcommand-02.png,jointextcommand-05.png
